ID;Tipo;Descrição;Categoria;Trecho do Texto
RF16;Funcional;O sistema deve permitir o registro de compras de produtos, associando quantidade, produto e fornecedor para controle de estoque.;;Em relação a compra é cadastrada a quantidade em unidade interligada ao nome do produto e fornecedor para fins de controlar o estoque de maneira simples e segura (página 10)
RF17;Funcional;O sistema deve permitir o registro de vendas de produtos e/ou serviços, com os seguintes dados: cliente, quantidade, valor unitário, forma de pagamento e funcionário/profissional que realizou o serviço, podendo incluir desconto.;;a venda será composta produtos e/ou serviços vendidos/prestados com ou sem desconto, cliente, quantidade, valor unitário, forma de pagamento e funcionário/profissional que realizou o serviço (página 10)
RF18;Funcional;O sistema deve controlar o estoque de produtos, sendo atualizado automaticamente com base nas compras e vendas registradas.;;o módulo de compra e o de venda alimenta o estoque de produtos. (página 10)
RF19;Funcional;O sistema deve permitir o cadastro de funcionários com os seguintes dados: nome, RG, CPF, sexo, data de nascimento, rua, número, bairro, complemento, estado, cidade, CEP e telefone.;;Será armazenado um espaço na memória que contenha dados mais específicos do funcionário, como nome, RG, CPF, sexo, data de nascimento, rua, número, bairro, complemento, estado, cidade, CEP e telefone. (página 10)
RF20;Funcional;O sistema deve permitir a consulta de funcionários cadastrados, exibindo uma lista e possibilitando filtros.;;Neste módulo ainda contém uma lista com todos os funcionários cadastrados no sistema para consulta, sendo possível inserir, alterar e excluir um funcionário, bem como realizar filtros de consulta. (página 10)
RF21;Funcional;O sistema deve permitir a alteração dos dados de um funcionário cadastrado.;;sendo possível inserir, alterar e excluir um funcionário (página 10)
RF22;Funcional;O sistema deve permitir a exclusão de um funcionário cadastrado.;;sendo possível inserir, alterar e excluir um funcionário (página 10)
RF23;Funcional;O sistema deve permitir o cadastro de fornecedores com os seguintes dados: nome, razão social, CNPJ, inscrição municipal, inscrição estadual, observações, rua, número, bairro, complemento, estado, cidade, telefone, e-mail e site.;;Será armazenado um espaço na memória que contenha dados mais específicos do fornecedor, como nome, razão social, CNPJ, inscrição municipal, inscrição estadual, observações, rua, número, bairro, complemento, estado, cidade, telefone, e-mail e site. (página 11)
RF24;Funcional;O sistema deve permitir a consulta de fornecedores cadastrados, exibindo uma lista e possibilitando filtros.;;Neste módulo ainda contém uma lista com todos os fornecedores cadastrados no sistema para consulta, sendo possível inserir, alterar e excluir um fornecedor, bem como realizar filtros de consulta. (página 11)
RF25;Funcional;O sistema deve permitir a alteração dos dados de um fornecedor cadastrado.;;sendo possível inserir, alterar e excluir um fornecedor (página 11)
RF26;Funcional;O sistema deve permitir a exclusão de um fornecedor cadastrado.;;sendo possível inserir, alterar e excluir um fornecedor (página 11)
RF27;Funcional;O sistema deve permitir o cadastro de usuários do sistema, associando um funcionário, nome de usuário e senha, para controle de acesso.;;Será armazenado um espaço na memória que contenha dados como funcionário, usuário e senha. Esses dados são utilizados para registrar e controlar o acesso ao sistema permitindo ou não o acesso ao mesmo. (página 11)
RF28;Funcional;O sistema deve permitir a consulta de usuários cadastrados, exibindo uma lista e possibilitando filtros.;;Neste módulo ainda contém uma lista com todos os usuários cadastrados no sistema para consulta, sendo possível inserir, alterar e excluir um usuário, bem como realizar filtros de consulta. (página 11)
RF29;Funcional;O sistema deve permitir a alteração dos dados de um usuário cadastrado.;;sendo possível inserir, alterar e excluir um usuário (página 11)
RF30;Funcional;O sistema deve permitir a exclusão de um usuário cadastrado.;;sendo possível inserir, alterar e excluir um usuário (página 11)
RF31;Funcional;O sistema deve permitir a realização de backup da base de dados.;;O sistema proporciona a opção de Backup e Restaurar Backup da base de dados para que se faça uma cópia de segurança de tudo o que foi cadastrado (página 11)
RF32;Funcional;O sistema deve permitir a restauração de backup da base de dados.;;Restaurar Backup da base de dados (página 11)
RF33;Funcional;O sistema deve emitir relatórios de clientes, agendamentos, estoque de produtos, compras, vendas, aniversariantes do mês e fluxo de caixa.;;O sistema emite relatório de informações completas dos dados após selecionar o tipo de relatório como clientes, agendamentos, estoque de produtos, compra, venda, aniversariantes do mês, fluxo de caixa e imprimi-los. (página 11)
RF34;Funcional;O sistema deve permitir o controle financeiro diário, incluindo abertura e fechamento de caixa, registro de entradas e saídas, e exibição de extrato e saldo.;;abertura e fechamento de caixa de modo que o próprio sistema tenha armazenado. O programa está capacitado a armazenar a renda e também exibir o valor de capital que entrou e saiu do respectivo dia, permitindo completa visibilidade ao extrato e saldo do caixa (página 10)
RF35;Funcional;O sistema deve permitir o gerenciamento de comissões de funcionários.;;comissões de funcionários (tabela 03, página 8)
RNF01;Não Funcional;O sistema deve exigir autenticação de usuário por meio de login e senha para acesso às funcionalidades.;Segurança;pessoa não autorizada não pode ter acesso ao sistema, seja para consulta e/ou escrita (página 13)
RNF02;Não Funcional;O sistema deve garantir que apenas usuários autorizados possam realizar operações de consulta e escrita, conforme permissões associadas ao cadastro de usuário.;Segurança;pessoa não autorizada não pode ter acesso ao sistema, seja para consulta e/ou escrita (página 13)
RNF03;Não Funcional;O sistema deve fornecer funcionalidade de backup e restauração da base de dados para garantir a recuperação de informações em caso de perda acidental.;Confiabilidade;Backup e Restaurar Backup da base de dados para que se faça uma cópia de segurança de tudo o que foi cadastrado, evitando perdas acidentais. (página 11)
RNF04;Não Funcional;O sistema deve ser desenvolvido em linguagem Java, garantindo portabilidade entre diferentes sistemas operacionais (Windows, Linux, Mac OS).;Portabilidade;Java é muito utilizada tanto para sistemas web, desktop, mobile e periféricos em geral, pode ser utilizado para diversos tipos de desenvolvimento de projeto, abrangendo desde serviços a aplicações web e gratuita. (quadro 1, página 6)
RNF05;Não Funcional;O sistema deve possuir interface simples e de fácil utilização, visando atender usuários com pouca experiência em informática.;Usabilidade;de forma rápida, segura e ao mesmo tempo simples, atendendo os recursos tecnológicos e humanos (página 9)
RNF06;Não Funcional;O sistema deve utilizar o banco de dados MySQL, que é open-source e oferece desempenho consistente, alta confiabilidade e facilidade de uso.;Tecnologia;MySQL é open-source e sua popularidade por causa de seu desempenho consistente, rápido, alta confiabilidade e facilidade de uso. (quadro 1, página 6)
