ID;Tipo;Descrição;Categoria;Trecho do Texto
RF17;Funcional;O sistema deve permitir que o funcionário visualize suas comissões filtradas por período.;Gestão de Funcionários;"Ilustração 20 - Tela de comissões [tela exibindo Minhas Comissões com filtro por período e total]."
RF18;Funcional;O sistema deve restringir o acesso às funcionalidades com base no perfil do usuário, concedendo acesso total ao administrador e acesso restrito ao funcionário.;Controle de Acesso;"RNF-04: O sistema deve restringir o acesso às funcionalidades com base no tipo de usuário (funcionário ou administrador)."
RNF01;Não Funcional;O sistema deve criptografar as senhas dos usuários utilizando hash irreversível (bcrypt) antes de armazená-las no banco de dados.;Segurança;"Para garantir a segurança dos dados dos usuários, o sistema implementa a criptografia de senhas no banco de dados utilizando a biblioteca bcrypt."
RNF02;Não Funcional;O sistema deve autenticar os usuários por meio de tokens JWT, garantindo que apenas usuários autenticados acessem os recursos.;Segurança;"implementou-se criptografia de senhas com bcrypt e autenticação via tokens JWT, seguindo as diretrizes de segurança da OWASP."
RNF03;Não Funcional;O sistema deve seguir as diretrizes de segurança estabelecidas pela OWASP.;Segurança;"seguindo as diretrizes de segurança da Open Web Application Security Project (OWASP)."
RNF04;Não Funcional;O sistema deve possuir interface intuitiva e acessível, permitindo que usuários com diferentes níveis de familiaridade tecnológica naveguem e executem tarefas sem dificuldades relevantes.;Usabilidade;"Os resultados mostraram que os participantes conseguiram navegar com facilidade, localizar informações com rapidez e compreender as funções sem maiores dificuldades."
RNF05;Não Funcional;O sistema deve possuir design responsivo, funcionando corretamente em dispositivos móveis e desktops.;Portabilidade;"RNF-01: O sistema deve ter seu design responsivo para funcionar em qualquer dispositivo."
RNF06;Não Funcional;O sistema deve garantir a integridade dos dados de agenda, impedindo o registro de agendamentos sobrepostos para o mesmo profissional no mesmo dia e horário.;Confiabilidade;"No processo de criação do agendamento há uma validação para impedir a sobreposição de horários, evitando conflitos e protegendo um dos processos mais importantes de todo o sistema."
RNF07;Não Funcional;O sistema deve reaplicar criptografia sempre que a senha de um usuário for alterada, garantindo que nenhuma senha seja armazenada em texto puro.;Segurança;"Os hooks beforeCreate e beforeUpdate garantem que toda senha cadastrada ou alterada passe pelo processo de criptografia."
RNF08;Não Funcional;O sistema deve apresentar tempo de resposta satisfatório, não sendo percebido como lento pelos usuários.;Desempenho;"Ilustração 24 – Gráfico da pergunta 8: Este aplicativo é muito lento – 100% das respostas: Não."
