ID;Tipo;Descrição;Categoria / Domínio;Trecho do Texto
RF14;Funcional;O sistema deve permitir ao proprietário cadastrar horários de atendimento especificando os dias da semana, os serviços disponíveis no dia e os horários de início e término.;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, cadastrar horários os quais estará disponível para trabalho, inserindo os dias da semana que serão prestados atendimento, os serviços disponíveis no dia e por fim a hora de início e de término deste horário. (RF014)"
RF15;Funcional;O sistema deve permitir ao proprietário editar os dados de qualquer horário de atendimento cadastrado (início, término, dias da semana e serviços).;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, editar qualquer dado dos horários cadastrados no sistema. (RF015)"
RF16;Funcional;O sistema deve permitir ao proprietário excluir qualquer horário de atendimento cadastrado.;Principal - Agendamento;"O sistema deve permitir ao proprietário do salão, excluir qualquer horário que já esteja cadastrado no sistema. (RF016)"
RF17;Funcional;O sistema deve permitir ao cliente autenticado visualizar a agenda com os serviços disponíveis para agendamento.;Principal - Agendamento;"O sistema deve permitir ao cliente do salão, visualizar a agenda com os serviços disponíveis. (RF017)"
RF18;Funcional;O sistema deve permitir ao cliente autenticado selecionar um serviço disponível para iniciar o processo de agendamento.;Principal - Agendamento;"O sistema deve permitir ao cliente do salão, selecionar qualquer dos serviços cadastrados no sistema através do proprietário. O cliente deve estar cadastrado e ter acessado a página com seu e-mail e senha corretos. (RF018)"
RF19;Funcional;O sistema deve permitir ao cliente selecionar uma data disponível para o agendamento, exibindo apenas datas vinculadas a horários de atendimento cadastrados para o serviço escolhido.;Principal - Agendamento;"O sistema deve permitir ao cliente do salão, selecionar qualquer uma das datas disponíveis. Não devem aparecer datas em serviços que não estejam cadastrados em um horário. (RF019)"
RF20;Funcional;O sistema deve permitir ao cliente selecionar uma hora disponível dentro da data escolhida para o agendamento.;Principal - Agendamento;"O sistema deve permitir ao cliente do salão, selecionar qualquer uma das horas disponíveis na data selecionada. (RF020)"
RF21;Funcional;O sistema deve permitir ao cliente confirmar e concluir o agendamento somente após a seleção de serviço, data e hora, armazenando os dados e notificando o cliente.;Principal - Agendamento;"O sistema deve permitir ao cliente do salão realizar um agendamento, somente após ter selecionado um serviço, data e hora. (RF021)"
RF22;Funcional;O sistema deve exibir na agenda do cliente apenas serviços com status ativo.;Principal - Agendamento;"Na agenda disponibilizada para os clientes, devem ser apresentados apenas serviços com status ativo. (RN003)"
RF23;Funcional;O sistema deve exibir datas e horas disponíveis para agendamento somente para serviços que estejam vinculados a um horário de atendimento cadastrado.;Principal - Agendamento;"Na agenda disponibilizada para os clientes, devem ser apresentados datas e horas disponíveis somente para serviços que estão inseridos em um horário. (RN004)"
RF24;Funcional;O sistema deve permitir que apenas serviços com status ativo sejam adicionados a um horário de atendimento.;Principal - Agendamento;"Todos os serviços que serão acrescentados em algum dos horários cadastrados devem estar no estado ativo. (RN002)"
RNF01;Não Funcional;O sistema deve apresentar interfaces responsivas e adaptadas para diferentes dispositivos, incluindo Desktop e Mobile.;Portabilidade / Usabilidade;"As interfaces do sistema devem ser adaptativas ao tipo de dispositivo utilizado pelo usuário, seja ele um Desktop ou Mobile. (RNF001)"
RNF02;Não Funcional;O sistema deve funcionar completamente online como aplicação web, sendo compatível com o navegador Google Chrome.;Compatibilidade / Disponibilidade;"O sistema deve funcionar de forma completamente online na Web compatível com o principal navegador da atualidade, o Google Chrome. (RNF002)"
RNF03;Não Funcional;O sistema deve utilizar como cores principais da interface rosa, roxo e branco (levemente azulado).;Usabilidade / Interface;"Por padrão as cores principais da aplicação devem ser: Rosa, Roxo e Branco (levemente azulado). (RNF003)"
RNF04;Não Funcional;O sistema deve carregar interfaces e componentes em até 7 segundos.;Desempenho;"As interfaces e componentes responsivos da aplicação, necessitam de um carregamento de até 7 segundos. (RNF004)"
RNF05;Não Funcional;O sistema deve restringir o acesso às páginas administrativas (agendamentos, clientes, serviços e horários) exclusivamente a usuários com perfil de proprietário.;Segurança;"Apenas usuários que são proprietários devem possuir acesso às páginas de agendamento, clientes, serviços e horários. (RNF005)"
RNF06;Não Funcional;O sistema deve exibir todas as páginas — exceto login, cadastro e redefinição de senha — apenas para usuários autenticados.;Segurança;"Todas as páginas, exceto login, cadastro e redefinição de senhas, apenas devem ser exibidas para usuários autenticados. (RNF006)"
RNF07;Não Funcional;O sistema deve implementar mecanismos de segurança como criptografia, controle de acesso e proteção contra ameaças cibernéticas para garantir integridade e privacidade dos dados.;Segurança;"Todas as medidas de segurança, como criptografia, controle de acesso e proteção contra ameaças cibernéticas, devem ser rigorosamente implementadas para garantir a integridade e a privacidade dos dados."
RNF08;Não Funcional;O sistema deve apresentar interface amigável e intuitiva, acessível a usuários com diferentes níveis de experiência tecnológica.;Usabilidade;"priorizando a usabilidade do software, tornando-o intuitivo e acessível para todos os usuários, independentemente do nível de experiência tecnológica."
RNF09;Não Funcional;O sistema deve armazenar todos os dados na nuvem, garantindo escalabilidade e disponibilidade contínua.;Escalabilidade / Disponibilidade;"todos os dados da aplicação são armazenados na nuvem, utilizando o serviço de banco de dados MongoDB Atlas."
